"Advanced Program Information"
4/3/2023

Year,Level,Division,"Enrollment Type",Count,Percent
"2021 - 2022",DIV,"Middlesex County Public Schools","Dual Enrollment enrollment",74,22.09
"2021 - 2022",DIV,"Middlesex County Public Schools","Governors School enrollment",18,5.37
"2021 - 2022",DIV,"Montgomery County Public Schools","Advanced Placement Test Taken Preliminary Results",630,20.44
"2021 - 2022",DIV,"Montgomery County Public Schools","Advanced Placement course enrollment",722,23.43
"2021 - 2022",DIV,"Montgomery County Public Schools","Dual Enrollment enrollment",975,31.64
"2021 - 2022",DIV,"Montgomery County Public Schools","Governors School enrollment",13,.42
"2021 - 2022",DIV,"Nelson County Public Schools","Advanced Placement Test Taken Preliminary Results",26,4.77
"2021 - 2022",DIV,"Nelson County Public Schools","Advanced Placement course enrollment",40,7.34
"2021 - 2022",DIV,"Nelson County Public Schools","Dual Enrollment enrollment",85,15.6
"2021 - 2022",DIV,"New Kent County Public Schools","Advanced Placement Test Taken Preliminary Results",52,4.8
"2021 - 2022",DIV,"New Kent County Public Schools","Advanced Placement course enrollment",58,5.36
"2021 - 2022",DIV,"New Kent County Public Schools","Dual Enrollment enrollment",101,9.33
"2021 - 2022",DIV,"New Kent County Public Schools","Governors School enrollment",23,2.12
"2021 - 2022",DIV,"Newport News City Public Schools","Advanced Placement Test Taken Preliminary Results",1508,19.54
"2021 - 2022",DIV,"Newport News City Public Schools","Advanced Placement course enrollment",1737,22.51
"2021 - 2022",DIV,"Newport News City Public Schools","Dual Enrollment enrollment",156,2.02
"2021 - 2022",DIV,"Newport News City Public Schools","Governors School enrollment",16,.21
"2021 - 2022",DIV,"Newport News City Public Schools","IB Course enrollment",125,1.62
"2021 - 2022",DIV,"Newport News City Public Schools","IB Exam Taken",90,1.17
"2021 - 2022",DIV,"Newport News City Public Schools","Seniors enrolled in IB Program",33,.43
"2021 - 2022",DIV,"Norfolk City Public Schools","Advanced Placement Test Taken Preliminary Results",1494,20.29
"2021 - 2022",DIV,"Norfolk City Public Schools","Advanced Placement course enrollment",1738,23.6
"2021 - 2022",DIV,"Norfolk City Public Schools","Dual Enrollment enrollment",157,2.13
"2021 - 2022",DIV,"Norfolk City Public Schools","Governors School enrollment",62,.84
"2021 - 2022",DIV,"Norfolk City Public Schools","IB Course enrollment",104,1.41
"2021 - 2022",DIV,"Norfolk City Public Schools","IB Exam Taken",51,.69
"2021 - 2022",DIV,"Norfolk City Public Schools","Seniors enrolled in IB Program",58,.79
"2021 - 2022",DIV,"Northampton County Public Schools","Dual Enrollment enrollment",0,0
"2021 - 2022",DIV,"Northumberland County Public Schools","Advanced Placement Test Taken Preliminary Results",9,2.49
"2021 - 2022",DIV,"Northumberland County Public Schools","Advanced Placement course enrollment",10,2.77
"2021 - 2022",DIV,"Northumberland County Public Schools","Dual Enrollment enrollment",227,62.88
"2021 - 2022",DIV,"Northumberland County Public Schools","Governors School enrollment",25,6.93
"2021 - 2022",DIV,"Norton City Public Schools","Advanced Placement course enrollment",33,12.94
"2021 - 2022",DIV,"Norton City Public Schools","Dual Enrollment enrollment",91,35.69
"2021 - 2022",DIV,"Nottoway County Public Schools","Dual Enrollment enrollment",119,21.1
"2021 - 2022",DIV,"Nottoway County Public Schools","Governors School enrollment",18,3.19
"2021 - 2022",DIV,"Orange County Public Schools","Advanced Placement Test Taken Preliminary Results",50,3.29
