"Dropout Rate"
4/3/2023

Year,Division,Indicator,Description,Dropouts,"Students in the Cohort","Cohort Dropout Rate"
2022,"Chesterfield County Public Schools","Thomas Dale High","Dropout Rate","Class of 2022",34,655,5.19
2022,"Clarke County Public Schools","Clarke County High","Dropout Rate","Class of 2022",2,167,1.2
2022,"Colonial Beach Public Schools","Colonial Beach High","Dropout Rate","Class of 2022",1,51,1.96
2022,"Colonial Heights City Public Schools","Colonial Heights High","Dropout Rate","Class of 2022",8,211,3.79
2022,"Craig County Public Schools","Craig County High","Dropout Rate","Class of 2022",5,50,10
2022,"Culpeper County Public Schools","Culpeper County High","Dropout Rate","Class of 2022",31,314,9.87
2022,"Culpeper County Public Schools","Eastern View High","Dropout Rate","Class of 2022",54,399,13.53
2022,"Cumberland County Public Schools","Cumberland High","Dropout Rate","Class of 2022",4,80,5
2022,"Danville City Public Schools","Galileo Magnet High","Dropout Rate","Class of 2022",0,59,0
2022,"Danville City Public Schools","George Washington High","Dropout Rate","Class of 2022",45,307,14.66
2022,"Dickenson County Public Schools","Ridgeview High","Dropout Rate","Class of 2022",8,146,5.48
2022,"Dinwiddie County Public Schools","Dinwiddie County High","Dropout Rate","Class of 2022",18,336,5.36
2022,"Essex County Public Schools","Essex High","Dropout Rate","Class of 2022",4,110,3.64
2022,"Fairfax County Public Schools","Annandale High","Dropout Rate","Class of 2022",46,581,7.92
2022,"Fairfax County Public Schools","Bryant High","Dropout Rate","Class of 2022",45,102,44.12
2022,"Fairfax County Public Schools","Centreville High","Dropout Rate","Class of 2022",41,640,6.41
2022,"Fairfax County Public Schools","Chantilly High","Dropout Rate","Class of 2022",14,742,1.89
2022,"Fairfax County Public Schools","Edison High","Dropout Rate","Class of 2022",16,521,3.07
2022,"Fairfax County Public Schools","Fairfax County Adult High","Dropout Rate","Class of 2022",100,122,81.97
2022,"Fairfax County Public Schools","Fairfax High","Dropout Rate","Class of 2022",31,579,5.35
2022,"Fairfax County Public Schools","Falls Church High","Dropout Rate","Class of 2022",43,463,9.29
2022,"Fairfax County Public Schools","Hayfield Secondary","Dropout Rate","Class of 2022",5,507,.99
2022,"Fairfax County Public Schools","Herndon High","Dropout Rate","Class of 2022",56,547,10.24
2022,"Fairfax County Public Schools","Justice High","Dropout Rate","Class of 2022",76,568,13.38
2022,"Fairfax County Public Schools","Key Center","Dropout Rate","Class of 2022",<,<,0
2022,"Fairfax County Public Schools","Kilmer Center","Dropout Rate","Class of 2022",<,<,<
2022,"Fairfax County Public Schools","Lake Braddock Secondary","Dropout Rate","Class of 2022",5,695,.72
2022,"Fairfax County Public Schools","Langley High","Dropout Rate","Class of 2022",0,476,0
2022,"Fairfax County Public Schools","Lewis High","Dropout Rate","Class of 2022",23,444,5.18
2022,"Fairfax County Public Schools","Madison High","Dropout Rate","Class of 2022",10,582,1.72
2022,"Fairfax County Public Schools","Marshall High","Dropout Rate","Class of 2022",22,526,4.18
2022,"Fairfax County Public Schools","McLean High","Dropout Rate","Class of 2022",3,560,.54
2022,"Fairfax County Public Schools","Mount Vernon High","Dropout Rate","Class of 2022",34,476,7.14
2022,"Fairfax County Public Schools","Mountain View High","Dropout Rate","Class of 2022",41,103,39.81
2022,"Fairfax County Public Schools","Oakton High","Dropout Rate","Class of 2022",11,666,1.65
2022,"Fairfax County Public Schools","Robinson Secondary","Dropout Rate","Class of 2022",5,645,.78
2022,"Fairfax County Public Schools","South County High","Dropout Rate","Class of 2022",4,575,.7
