"Per Pupil Spending"
4/3/2023

Year,"Level Code",Division,"End-of-Year Average Daily Membership","School-Level Expenditures Per-Pupil Federal","School-Level Expenditures Per-Pupil State","School-Level Expenditures Per-Pupil Subtotal","Division-Level Expenditures Per-Pupil Federal","Division-Level Expenditures Per-Pupil State","Division-Level Expenditures Per-Pupil Subtotal","Total Per-Pupil Expenditures","Per-Pupil Exclusions","Total Expenditures","Per-Pupil Federal Funds","Per-Pupil State Funds"
"2020 - 2021",DIV,"Virginia Beach City Public Schools",64822.5,928,11449,12377,0,0,0,12377,105979466,802278250,928,11449
"2020 - 2021",DIV,"Warren County Public Schools",5134.45,634,8331,8965,93,2691,2784,11749,9399875,60325770,727,11022
"2020 - 2021",DIV,"Washington County Public Schools",6699.62,520,7831,8350,224,3024,3248,11598,6996094,77700767,744,10855
"2020 - 2021",DIV,"Waynesboro City Public Schools",2953.12,743,7669,8412,661,3008,3668,12080,6638330,35674242,1404,10677
"2020 - 2021",DIV,"West Point Public Schools",805.32,322,9023,9344,0,3237,3237,12581,1276439,10131854,322,12260
"2020 - 2021",DIV,"Westmoreland County Public Schools",1523.21,977,8559,9536,154,5169,5324,14860,1841717,22634397,1131,13728
"2020 - 2021",DIV,"Williamsburg-James City County Public Schools",10766.88,285,8204,8489,331,4360,4691,13180,7915661,141912146,616,12564
"2020 - 2021",DIV,"Winchester City Public Schools",4209.36,805,9319,10124,578,3358,3936,14060,18779872,59183495,1383,12677
"2020 - 2021",DIV,"Wise County Public Schools",5516.43,578,6786,7364,445,2823,3267,10631,11819101,58645623,1023,9609
"2020 - 2021",DIV,"Wythe County Public Schools",3822.06,456,7462,7919,0,3366,3366,11284,5619444,43129026,456,10828
"2020 - 2021",DIV,"York County Public Schools",12391.38,376,8058,8434,29,2675,2704,11138,24771516,138012811,405,10733
